Element,Definition,FPDS Data Dictionary Element,Grouping,Domain Values,Domain Values Code Description
TypeOfContractPricing,The type of contract as defined in FAR Part 16 that applies to this procurement.,Type Of Contract,Award Attribute,A = FIXED PRICE REDETERMINATION B = FIXED PRICE LEVEL OF EFFORT J = FIRM FIXED PRICE K = FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT L = FIXED PRICE INCENTIVE M = FIXED PRICE AWARD FEE R = COST PLUS AWARD FEE S = COST NO FEE T = COST SHARING U = COST PLUS FIXED FEE V = COST PLUS INCENTIVE FEE Y = TIME AND MATERIALS Z = LABOR HOURS 1 = ORDER DEPENDENT (IDV ALLOWS PRICING ARRANGEMENT TO BE DETERMINED SEPARATELY FOR EACH ORDER) 2 = COMBINATION (APPLIES TO AWARDS WHERE TWO OR MORE OF THE ABOVE APPLY) 3 = OTHER (APPLIES TO AWARDS WHERE NONE OF THE ABOVE APPLY)Read Less,"1 = This applies to IDVs only. IDV allows pricing arrangement to be determined separately for each order. 2 = This applies to Awards only. Note: This value is not valid after Sept 30, 2009. 3 = This applies to Awards only. Note: This value is not valid after Sept 30, 2008.Read Less"
TypeOfContractPricingDescriptionTag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the TypeOfContractPricing Field.,,Award Attribute,A = FIXED PRICE REDETERMINATION B = FIXED PRICE LEVEL OF EFFORT J = FIRM FIXED PRICE K = FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT L = FIXED PRICE INCENTIVE M = FIXED PRICE AWARD FEE R = COST PLUS AWARD FEE S = COST NO FEE T = COST SHARING U = COST PLUS FIXED FEE V = COST PLUS INCENTIVE FEE Y = TIME AND MATERIALS Z = LABOR HOURS 1 = ORDER DEPENDENT (IDV ALLOWS PRICING ARRANGEMENT TO BE DETERMINED SEPARATELY FOR EACH ORDER) 2 = COMBINATION (APPLIES TO AWARDS WHERE TWO OR MORE OF THE ABOVE APPLY) 3 = OTHER (APPLIES TO AWARDS WHERE NONE OF THE ABOVE APPLY)Read Less,"1 = This applies to IDVs only. IDV allows pricing arrangement to be determined separately for each order. 2 = This applies to Awards only. Note: This value is not valid after Sept 30, 2009. 3 = This applies to Awards only. Note: This value is not valid after Sept 30, 2008.Read Less"
TypeSetAside,The designator for type of set aside determined for the contract action.,Type Set Aside,Award Attribute,NONE = NO SET ASIDE USED SBA = SMALL BUSINESS SET ASIDE - TOTAL 8A = 8A COMPETED SBP = SMALL BUSINESS SET ASIDE - PARTIAL HMT = HBCU OR MI SET-ASIDE -- TOTAL HMP = HBCU OR MI SET-ASIDE - PARTIAL VSB = VERY SMALL BUSINESS ESB = EMERGING SMALL BUSINESS SET-ASIDE HZC = HUBZONE SET-ASIDE SDVOSBC = SERVICE DISABLED VETERAN OWNED SMALL BUSINESS SET-ASIDE BI = BUY INDIAN IEE = INDIAN ECONOMIC ENTERPRISE ISBEE = INDIAN SMALL BUSINESS ECONOMIC ENTERPRISE HZS = HUBZONE SOLE SOURCE SDVOSBS = SDVOSB SOLE SOURCE 8AN = 8(A) SOLE SOURCE RSB = RESERVED FOR SMALL BUSINESS 8AC = SDB Set-Aside 8(a)-(Will be deprecated in future) HS2 = Combination HUBZone and 8(a)-(Will be deprecated in future) HS3 = 8(A) WITH HUB ZONE PREFERENCE VSA = VETERAN SET ASIDE VSS = VETERAN SOLE SOURCE WOSB = WOMEN OWNED SMALL BUSINESS EDWOSB = ECONOMICALLY DISADVANTAGED WOMEN OWNED SMALL BUSINESS WOSBSS = WOMEN OWNED SMALL BUSINESS SOLE SOURCE EDWOSBSS = ECONOMICALLY DISADVANTAGED WOMEN OWNED SMALL BUSINESS SOLE SOURCERead Less,"NONE = Report this code if the contract award was not a socio-economic program set-aside SBA = Report this code for a small business set aside 8A = Report this code for an 8a award pursuant to FAR 19.805-2 SBP = Report this code for a partial small business set aside made pursuant to FAR 19.502-3 HMT = Report this code for an award directed to a Historically Black College/University or Minority Institution per DFARS 226.7003 HMP = Report this code for contract awards directed to Historically Black College/University of Minority Institution per DFARS 235.016 VSB = Report this code if the acquisition is between $2,501 and $50,000 and was awarded to a very small business concern as a result of using set-aside procedures under the very small business pilot program set forth in FAR 19.9. This code is valid until 12/08/2004 ESB = Enter this code if the action was an emerging small business reserve award (set-aside) within a designated industry group under the Small Business Competitiveness Demonstration Program (see FAR Subpart 19.10) HZC = Report this code if the award was made to a HUBZone small business concern after being competed among only HUBZone small business concerns. See FAR 19.1305 SDVOSBC = Report this code for contract awards exceeding the micro purchase threshold set-aside for competition restricted to service-disabled veteran-owned small business concerns. FAR.19.1405 BI = Report this code if applicable. As of 7/8/2013 this value can no longer be used by the Department of Interior. This code can still be used by the Indian Health Service of the Department of Health and Human Services. IEE= Report this code if applicable. This value can only be used by the Department of Interior. The start date is 7/8/2013. ISBEE = Report this code if applicable. This value can only be used by the Department of Interior. The start date is 7/8/2013. HZS = Report this code if the award was made through noncompetitive procedures to a HUBZone small business concern under the authority of FAR 19.1306. SDVOSBS = Report this code for contract awards exceeding the micro purchase threshold set-aside for non competitive award to service-disabled veteran-owned small business concerns. FAR 19.1406 8AN = Report this code for actions with the Small Business Administration pursuant to FAR 19.8, or directly with an 8(a) contractor pursuant to a memorandum of understanding between the SBA and the reporting agency per 219.811 RSB = Report this code if awards exceeds the micro-purchase threshold but does not exceed the simplified acquisition threshold. FAR 13. This code is valid until 10/31/2009 8AC = Report this code for a small disadvantaged business award made under a competitive 8(a) preference program pursuant to FAR 19.800(d). This code is not valid for base documents signed after 11/18/2005 HS2 = Report this code if the award was a combination HUBZone set-aside and 8(a) award. This code is not valid for base documents signed after 10/02/2008. HS3 = Report this code when the primary preference program was 8(a) and priority was given to the 8(a) concern that was also a HUBZone small business concern. See FAR 19.800(d). This code is not valid for base documents signed after 10/02/2008. VSA = Report this code for actions with Veteran Owned Businesses VSS = Report this code for actions with Veteran Owned Businesses. WOSB = Report this code for a Women Owned Small Business Set-Aside made pursuant to FAR 19.15. This code is only valid for actions signed on or after 4/01/2011. EDWOSB = Report this code for an Economically Disadvantaged Women Owned Small Business Set-Aside made pursuant to FAR 19.15. This code is only valid for actions signed on or after 4/01/2011. WOSBSS = Report this code for a Women Owned Small Business Sole Source made pursuant to FAR 19.15. This code is only valid for actions signed on or after 11/13/2015. EDWOSBSS = Report this code for an Economically Disadvantaged Women Owned Small Business Sole Source made pursuant to FAR 19.15. This code is only valid for actions signed on or after 11/13/2015.Read Less"
U.S.FederalGovernment,"List characteristic of the contractor such as whether the selected contractor is a Federal Government Organization or not. It can be derived from the SAM data element, 'Business Types'.",U.S. Federal Government,Award Recipient,F = False T = True,
U.S.GovernmentEntity,https://www.sam.gov,U.S. Government Entity,Award Recipient,F = False T = True,
U.S.LocalGovernment,"List characteristic of the contractor such as whether the selected contractor is a Local Government Organization or not. It can be derived from the SAM data element, 'Business Types'.",U.S. Local Government,Award Recipient,F = False T = True,
U.S.StateGovernment,"List characteristic of the contractor such as whether the selected contractor is a State Government Organization or not. It can be derived from the SAM data element, 'Business Types'.",U.S. State Government,Award Recipient,F = False T = True,
U.S.TribalGovernment,"List characteristic of the contractor such as whether the selected contractor is a Tribal Government Organization or not. It can be derived from the SAM data element, 'Business Types'.",U.S. Tribal Government,Award Recipient,F = False T = True,
UltimateParentLegalEntityName,The name of the ultimate parent of the awardee or recipient.,,Award Recipient,,
UltimateParentUEI,"The Unique Entity Identifier (UEI) for the ultimate parent of an awardee or recipient. A UEI is a unique alphanumeric code used to identify a specific commercial, nonprofit, or business entity.",,,,
